Names	dates	cities	reviews	ratings	stars
OpenTable Diner	Dined on May 5, 2019	New York City	Great tastes with excellent service	Overall 5 Food 5 Service 5 Ambience 4	5.0
OpenTable Diner	Dined on May 5, 2019	New York City	Job promotion	Overall 5 Food 5 Service 5 Ambience 5	4.7
RyanB	Dined on May 2, 2019	New York City	Held a dinner for clients at this location. Very accommodating and easy to work with. Food and service were outstanding. Overall a great experience.	Overall 5 Food 5 Service 5 Ambience 5	5.0
CarlosM	Dined on April 28, 2019	Washington DC	Nobu Downtown , is a NYC classic. No review is needed.	Overall 4 Food 5 Service 4 Ambience 4	2.0
BetsyW	Dined on April 28, 2019	New York City	Outstanding!  My favorite restaurant ever!  I cannot say enough good things about Nobu.  Best food I've ever had.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on April 27, 2019	New York City	The staff was very polite and efficient. Food was outstanding.	Overall 5 Food 5 Service 5 Ambience 5	4.0
Mancation	Dined on April 24, 2019	New York City	My wife and I getting out without kids.  Great overall experience.	Overall 5 Food 5 Service 5 Ambience 4	5.0
OpenTable Diner	Dined on April 23, 2019	New York City	Food was delicious and the service was excellent! Will be back.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on April 21, 2019	Chicago	With my daughter	Overall 5 Food 5 Service 5 Ambience 5	4.7
JustinP	Dined on April 14, 2019	Philadelphia	Simply amazing	Overall 5 Food 5 Service 5 Ambience 5	5.0
Foodie23	Dined on April 13, 2019	Philadelphia	Address is incorrect and confusing, it is the  corner of broadway & Fulton Street,  facing Fulton street,  no sign out front	Overall 4 Food 4 Service 3 Ambience 4	5.0
OpenTable Diner	Dined on April 10, 2019	New York City	The waiter asked us if we were on a budget	Overall 2 Food 5 Service 1 Ambience 5	4.7
OpenTable Diner	Dined on April 7, 2019	London	Family reunion	Overall 4 Food 5 Service 4 Ambience 4	4.7
sonyaF	Dined on April 7, 2019	Orange County	Amazing -was a special occasion and they made it so special	Overall 5 Food 5 Service 5 Ambience 5	2.0
WilliamJC	Dined on April 7, 2019	New York City	Always wonderful at the downtown location. No complaints, excellent food and service.	Overall 5 Food 5 Service 5 Ambience 5	4.0
RCas	Dined on April 5, 2019	New York City	Small portions. Excellent service. Over priced. Beautiful new space.	Overall 3 Food 3 Service 3 Ambience 3	5.0
Judsonbk	Dined on April 4, 2019	New York City	As expected Nobu delievers and overall experience that is always at an exceptional level.	Overall 5 Food 5 Service 5 Ambience 4	3.0
RowanNYC	Dined on April 3, 2019	New York City	Very attentive staff, but also kept a distance when we were having an involved discussion. They matched their service to our needs. Very good.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 3, 2019	San Francisco	Good but not extraordinary	Overall 5 Food 5 Service 4 Ambience 4	5.0
LisaG	Dined on April 2, 2019	New York City	Great atmosphere, food and service. Would highly recommend / black miso cod is the best.	Overall 5 Food 5 Service 5 Ambience 5	4.7
LauraK	Dined on April 2, 2019	New York City	It was great. Everyone was really friendly and the food was excellent	Overall 5 Food 5 Service 5 Ambience 5	4.7
Greek1	Dined on April 2, 2019	Greater Boston	Amazing experience all around.	Overall 5 Food 5 Service 5 Ambience 5	5.0
NathalieR	Dined on April 1, 2019	Minneapolis	The food was amazing and the service outstanding. Our server provided us with excellent recommendations.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 1, 2019	San Francisco	Loved everything about our dinner!	Overall 5 Food 5 Service 5 Ambience 5	5.0
JEP28	Dined on March 25, 2019	New York City	Overpriced for the quality	Overall 3 Food 3 Service 3 Ambience 4	5.0
JohnMcD	Dined on March 23, 2019	New York City	Very nice atmosphere! Highly recommended.	Overall 4 Food 4 Service 5 Ambience 5	5.0
DonS	Dined on March 19, 2019	Orange County	A great time.  Our first visit.  We'll be back!!!  Can't wait for the new one in ATL!!	Overall 4 Food 4 Service 4 Ambience 4	3.0
OpenTable Diner	Dined on March 18, 2019	New York City	Anniversary	Overall 4 Food 4 Service 3 Ambience 5	4.0
traciem	Dined on March 17, 2019	New York City	Awesome!  Simply awesome!!!  From the minute we stepped through the door to the minute we left... everything was stupendous!!!!	Overall 5 Food 5 Service 5 Ambience 5	4.0
DmitriA	Dined on March 16, 2019	San Francisco	Ordered table for 2 persons and got table with another people...	Overall 2 Food 5 Service 1 Ambience 3	4.7
DevdeepS	Dined on March 11, 2019	Los Angeles	Each and every item was delicious! Service was impeccable! Highly recommended	Overall 5 Food 5 Service 5 Ambience 5	4.7
ThomasK	Dined on March 10, 2019	Chicago	Fantastic Restaurant, excellent food and service. Waiter was very helpful and recommended some fabulous courses.	Overall 5 Food 5 Service 5 Ambience 5	2.0
LoisR	Dined on March 10, 2019	New York City	Will be back again. Wonderful dining experience and perfect to share with friends.	Overall 5 Food 5 Service 5 Ambience 5	5.0
SailwriterNY	Dined on March 10, 2019	New York City	Yearly ritual With many visits in between it’s just so good!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Faceam	Dined on March 8, 2019	New York City	Consistently some of the best sushi you can find.  Although a bit pricey, definitely worth it.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on March 8, 2019	Italy	Nice place with amazing food! Service very good!	Overall 5 Food 5 Service 5 Ambience 5	5.0
marc	Dined on March 7, 2019	Washington DC	Drunk belligerent patrons that bothered us and restaurant did nothing about it. Not as good overal as the old Tribeca Nobu.	Overall 2 Food 3 Service 3 Ambience 1	5.0
NZ2247	Dined on March 7, 2019	New York City	PERFECT AS ALWAYS. GREAT FOOD, LOVELY ROOM AND ATTENTIVE SERVICE.	Overall 5 Food 5 Service 5 Ambience 5	5.0
ClaireBP1	Dined on March 5, 2019	New York City	Sublime!  I would eat here every night if I could afford it	Overall 5 Food 5 Service 5 Ambience 5	2.0
LawrenceS	Dined on February 20, 2019	San Francisco	Service, ambiance and food was amazing! Love Nobu.	Overall 5 Food 5 Service 5 Ambience 5	4.0
MarioC	Dined on February 18, 2019	Vancouver	Great food and experience. Definitely recommended for foodies. 1st time sushi eaters need not apply.	Overall 5 Food 4 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on February 18, 2019	New York City	Nobu Downtown is average. Compare to other Nobu locations this is not where I wanted to come dine twice.	Overall 2 Food 2 Service 5 Ambience 4	4.7
Julez	Dined on February 18, 2019	New York City	Best sushi I've ever tasted. The blue fin tuna was the best. The waygu was like butter.	Overall 5 Food 5 Service 5 Ambience 5	2.0
Adam	Dined on February 15, 2019	New York City	Really not worth the fortune you’re going to spend. Nobu LOVES the smell of its own farts.	Overall 2 Food 2 Service 2 Ambience 2	5.0
ATrapp	Dined on February 15, 2019	Cincinnati	Delicious and satisfying every time! Omakase for Valentine’s Day was so good! We prepared and filling.	Overall 5 Food 5 Service 5 Ambience 5	4.0
Lori	Dined on February 14, 2019	New York City	Always has been stellar. The food was wonderful but the service was SUPER SLOW. I know it's not the norm so I will be back!	Overall 3 Food 5 Service 1 Ambience 5	2.0
OpenTable Diner	Dined on February 14, 2019	New York City	A friend wanted to try the Downtown venue. It was surprisingly good	Overall 5 Food 5 Service 5 Ambience 5	5.0
foodielove	Dined on February 8, 2019	New York City	How does this place still get away with being so high and mighty. The sushi is commercial at best and our waiter was extremely rude.	Overall 2 Food 3 Service 1 Ambience 2	4.0
JacobB	Dined on February 3, 2019	Philadelphia	Portions were extremely small! Left hungry and first had to go out for dinner!	Overall 2 Food 3 Service 3 Ambience 3	5.0
OpenTable Diner	Dined on February 3, 2019	New York City	Wonderful as usual....	Overall 5 Food 5 Service 5 Ambience 5	1.0
GraceC	Dined on February 1, 2019	New York City	The food is a bit too salty, and the sushi wasn’t super fresh (as what we’d expect in a restaurant of this caliber).	Overall 2 Food 2 Service 1 Ambience 4	4.7
MartiB	Dined on February 1, 2019	Charleston	The restaurant was lovely and the food was delicious. We will be back!	Overall 5 Food 5 Service 5 Ambience 5	4.0
chrism	Dined on January 31, 2019	New York City	Upscale and a bit pricey, but quality food and service.	Overall 4 Food 4 Service 4 Ambience 3	2.0
drfood	Dined on January 28, 2019	New York City	Excellent service and food	Overall 5 Food 5 Service 5 Ambience 5	4.0
MarvinL	Dined on January 21, 2019	New York City	Service was poor. Food very average. Clearly over priced	Overall 2 Food 3 Service 1 Ambience 3	5.0
Brian	Dined on January 20, 2019	New York City	Always a great meal!!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
SarahN	Dined on January 18, 2019	New York City	Amazing dinner, from the yellowtail with jalapeno, to the miso black cod!	Overall 5 Food 5 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on January 18, 2019	West Palm Beach	Great service and food	Overall 5 Food 5 Service 5 Ambience 5	5.0
Chefdom	Dined on January 17, 2019	New York City	My visit to this location never dissappoints.  A lwasy a new experience with each meal. Thank you	Overall 5 Food 5 Service 5 Ambience 5	5.0
MichelleS	Dined on January 13, 2019	New York City	The portions were small. The food was not great and the service was terrible.	Overall 1 Food 2 Service 1 Ambience 3	2.0
Tony	Dined on January 8, 2019	New York City	Pricey, but it was a birthday celebration. Would definitely do it again.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on January 6, 2019	New York City	It’s a great place for dating and food is awesome. Love sea urchin so much	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on January 4, 2019	Orlando	Phenomenal. That’s all.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on January 4, 2019	New York City	Amazing food and amazing service. Perfect for a birthday celebration.	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on January 2, 2019	New York City	amazing sushi! would highly recommend!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on January 1, 2019	New York City	New Years Eve was spectacular at Nobu downtown !  Staff, food and atmosphere were amazing !	Overall 5 Food 5 Service 5 Ambience 5	5.0
Wend	Dined on December 31, 2018	New York City	Fantastic!	Overall 5 Food 5 Service 5 Ambience 5	5.0
SamLew	Dined on December 29, 2018	Miami	Food was great!  Don't expect the bill to be cheap. Service was exceptional as well.	Overall 5 Food 5 Service 5 Ambience 4	4.7
OpenTable Diner	Dined on December 24, 2018	New York City	Birthday dinner	Overall 5 Food 5 Service 5 Ambience 5	5.0
LarryV	Dined on December 24, 2018	Phoenix	Food like always was off the charts. Where NYC or Hong Kong this restaurant is consistently excellent all over the world.	Overall 5 Food 5 Service 5 Ambience 5	4.0
jimmy	Dined on December 23, 2018	New York City	The service, food and drinks were awesome!  Thanks.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on December 22, 2018	New York City	雰囲気や接客は良かったですが、料理の割に値段が高すぎるのがかなり気になりました。 そんなに頼んでいない中で2名で4万程度でした。日本の高級店に行った方が断然満足感は上なので、わざわざNYで行く店ではないなと感じました。	Overall 1 Food 3 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on December 20, 2018	Nashville	Daughter’s birthday	Overall 5 Food 5 Service 5 Ambience 4	4.7
Casey	Dined on December 20, 2018	New York City	Great spot to have a business dinner. casual and comfortable atmosphere with sophisticated dishes. Loved it and will be back	Overall 5 Food 5 Service 5 Ambience 5	4.0
MaxNYC	Dined on December 19, 2018	New York City	Service was a little pushy to get orders in quickly	Overall 4 Food 5 Service 3 Ambience 4	5.0
Amber	Dined on December 19, 2018	New York City	Waiter was awesome and attentaive	Overall 5 Food 5 Service 5 Ambience 5	5.0
561foodie	Dined on December 17, 2018	Tallahassee	Great food and service!	Overall 5 Food 5 Service 5 Ambience 5	5.0
JohnM	Dined on December 17, 2018	New York City	omakase is supposed to be special.  they came out with one dish of sashimi that looked and tasted like bodega food.	Overall 2 Food 2 Service 3 Ambience 1	4.0
Balmore	Dined on December 16, 2018	New York City	It's a scene. The food was very good. The service was not.	Overall 3 Food 4 Service 2 Ambience 2	5.0
royf	Dined on December 12, 2018	New York City	Excellent meal, a special place enjoy a business lunch. amazing quaity	Overall 5 Food 5 Service 5 Ambience 4	5.0
BKLNMAMA	Dined on December 12, 2018	New York City	Power lunch is always outstanding	Overall 5 Food 5 Service 4 Ambience 5	5.0
NatalieS	Dined on December 9, 2018	Denver	Absolutely delicious! My first Nobu experience and worth every penny. The food was delicious and my waiter, Dewayne, was exceptional.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on December 8, 2018	New York City	Birthday dinner. Food was great. Service could use some improvement	Overall 5 Food 5 Service 3 Ambience 5	3.0
Blinky	Dined on December 8, 2018	Greater Boston	Enjoyed Nobu very much. Especially the signature dishes.	Overall 5 Food 5 Service 5 Ambience 5	5.0
foodfan	Dined on December 4, 2018	New York City	Bar area is beautiful and a lovely place to meet, talk and have a drink. Service could be better.  Restaurant is nice and food is v good.	Overall 5 Food 4 Service 3 Ambience 4	5.0
AnneT	Dined on December 2, 2018	Greater Boston	Excellent service, excellent food, the birthday greeting on the dessert was brilliant	Overall 5 Food 5 Service 5 Ambience 4	3.0
OpenTable Diner	Dined on December 1, 2018	New York City	My wife birthday but they forgot the little sparkle they said they’ll bring out for her birthday but everything else 100	Overall 5 Food 5 Service 5 Ambience 5	2.0
vittoriaL	Dined on December 1, 2018	New York City	Wonderful as always	Overall 5 Food 5 Service 5 Ambience 5	5.0
STACEYK	Dined on November 30, 2018	New York City	Amazing food and service	Overall 5 Food 5 Service 5 Ambience 5	5.0
MarkusS	Dined on November 26, 2018	Switzerland	NYC and intl classic,  better every time... Will come again!	Overall 5 Food 5 Service 5 Ambience 5	5.0
JasonG	Dined on November 25, 2018	Atlantic City	Food was outstanding! Service excellent! We will go again!	Overall 5 Food 5 Service 5 Ambience 5	4.7
NZ2247	Dined on November 23, 2018	New York City	Always outstanding! Excellent service. Food was terrific.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on November 21, 2018	New York City	Everything was good beside of the chickenwings which should have had  More taste	Overall 4 Food 4 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on November 18, 2018	New York City	Very expensive compared to food quantity. Food was good in taste but not mindblowing to pay the price.	Overall 2 Food 2 Service 4 Ambience 4	5.0
ElaineK	Dined on November 17, 2018	New York City	I am from Brazil and I am very excited to know Nonu Sao Paulo!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on November 17, 2018	New York City	They are always on point. The waiters were informative and attentive	Overall 4 Food 4 Service 4 Ambience 4	4.7
lovegoodfood	Dined on November 15, 2018	New York City	Food is excellent but service could be better. It was pretty busy for lunch, reservations are recommended.	Overall 4 Food 5 Service 3 Ambience 5	4.7
OpenTable Diner	Dined on November 14, 2018	Los Angeles	Very positive .  Excellent food and great environment	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on November 13, 2018	Philadelphia	The restaurant was great and the birthday dessert decoration was a nice touch.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Nobby	Dined on November 12, 2018	New York City	Good, but so expensive for what you get.	Overall 4 Food 4 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on November 10, 2018	New York City	We had the chef’s choice, it was a great menu with a lot of variety in the food.	Overall 5 Food 5 Service 5 Ambience 5	4.0
TrishL	Dined on November 10, 2018	Las Vegas	Unfortunately, I just wasn’t really impressed for the money. Nothing really exciting about the menu. Sushi was fresh and delicious just really plain.	Overall 4 Food 3 Service 5 Ambience 5	3.0
Dilennys	Dined on November 5, 2018	New York City	Great food loved the food ant the place it was great	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on November 4, 2018	New York City	Always a fantastic experience	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on November 3, 2018	Jacksonville	Great dining.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on November 2, 2018	London	Amazing! Rock shrimp tempura, Yellowtail with jalapēno and Spicy tuna crispy rice, so good... its a must have.	Overall 5 Food 5 Service 5 Ambience 5	3.0
Peter	Dined on October 30, 2018	New York City	Love love love Nobu. I think its really amazing. Food, drinks and service is always the best.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Paolo	Dined on October 30, 2018	New York City	Great staff ! Great ambiance !wonderful place  ! amazing dinner !	Overall 5 Food 5 Service 5 Ambience 5	5.0
niceguytrieshard	Dined on October 28, 2018	New York City	The staff were so accommodating and professional. The food was exquisite. Terrific.	Overall 5 Food 5 Service 5 Ambience 4	4.0
OpenTable Diner	Dined on October 26, 2018	New York City	Beautiful experience. Food was great & unlike most restaurants they remembered to bring out a little dessert for the birthday girl! We loved it.	Overall 5 Food 5 Service 4 Ambience 5	3.0
CRDubs	Dined on October 26, 2018	New York City	Server was rushing us at a ridiculous pace. Too high end place to treated as if in a low scale franchise.	Overall 4 Food 5 Service 4 Ambience 5	5.0
brucem	Dined on October 25, 2018	New York City	Great food and service	Overall 5 Food 5 Service 5 Ambience 5	5.0
YuryF	Dined on October 22, 2018	New York City	Excellent! Nobu does not disappoint. New location in downtown is way better than TriBeCa	Overall 5 Food 5 Service 5 Ambience 5	4.7
Guss	Dined on October 21, 2018	New York City	Food was delicious!!! Had the Cod, sea bass, tacos, and tuna tartare. Drinks were yummy as well. Overall great experience!	Overall 4 Food 5 Service 4 Ambience 4	4.7
MadelineC	Dined on October 20, 2018	New York City	Would suggest seating not to be delayed by 20 m past reservation. Otherwise, good vibe.	Overall 4 Food 4 Service 5 Ambience 5	4.0
JohnB	Dined on October 20, 2018	New York City	Once again Nobu doesn’t disappoint. Spectacular in every way. Came with 2 first timers and they are hooked. Will be back again very soon	Overall 5 Food 5 Service 5 Ambience 5	4.0
AshleyF	Dined on October 18, 2018	New York City	Always consistent. Always great! Food is delicious.	Overall 5 Food 5 Service 5 Ambience 5	2.0
BWTtn	Dined on October 15, 2018	New York City	Really amazing food, can’t wait to go back.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Craft	Dined on October 14, 2018	Nashville	High quality and great ambiance, would recommend the upstairs bar vs downstairs dining room.	Overall 4 Food 5 Service 4 Ambience 3	3.0
JuanD	Dined on October 14, 2018	New York City	We’ loved it	Overall 4 Food 4 Service 5 Ambience 5	4.7
AMAC	Dined on October 9, 2018	Kansas City	Great service, ambiance, and food is spectacular! Worth every penny.	Overall 5 Food 5 Service 5 Ambience 5	4.0
SohaelF	Dined on October 9, 2018	New York City	Very good service with some of the best seafood I’ve ever had. Be prepared to spend a lot bough. Would recommend as a one time thing.	Overall 4 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on October 8, 2018	New York City	Great atmosphere	Overall 5 Food 4 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on October 8, 2018	Milwaukee	Mind blowingly good!! Get the chef’s tasting, every dish is incredible. Just to die for, unforgettable experience	Overall 5 Food 5 Service 5 Ambience 5	4.0
Will	Dined on October 8, 2018	Toronto	A very mixed place. Perfect combination with bar and restaurant, romantic atmosphere, expensive food with normal service.	Overall 3 Food 4 Service 4 Ambience 5	5.0
OpenTable Diner	Dined on October 6, 2018	Montreal	Good venue, some of the stuff are very proffesional but the hostess was not	Overall 3 Food 3 Service 3 Ambience 4	5.0
OpenTable Diner	Dined on October 2, 2018	New York City	Great service, great food, definitely coming back next time.	Overall 5 Food 5 Service 5 Ambience 5	4.7
AlexandraC	Dined on October 1, 2018	New York City	Phenomenal food, amazing service and great experience. One of the best restaurants I have ever dined at!!	Overall 5 Food 5 Service 5 Ambience 5	4.7
Nickster	Dined on September 28, 2018	New York City	Lived the food and service...but it's really too noisy and its hard to have a group conversation as a result	Overall 5 Food 5 Service 5 Ambience 4	4.0
DavidG	Dined on September 26, 2018	Los Angeles	It's Nobu. The sushi should knock your socks off. It was average and the service the same.	Overall 2 Food 2 Service 2 Ambience 5	3.0
Rosemary	Dined on September 24, 2018	New York City	Went here to celebrate a birthday and everything from the food to the service was excellent. No complaints here.	Overall 5 Food 5 Service 5 Ambience 5	5.0
ToddS	Dined on September 23, 2018	New York City	I’ve been to several Nobu restaurants all over. I love the ambiance. Food was amazing. Service was first rate. I’ll be back	Overall 5 Food 5 Service 5 Ambience 5	2.0
Zigzag	Dined on September 21, 2018	New York City	Fresh sushi and friendly service. Still great after all these years	Overall 5 Food 5 Service 5 Ambience 5	4.7
MyriameM	Dined on September 21, 2018	New York City	The matre d on the lower level was very rude and a bit obnoxious. It was a bad beginning to the night.	Overall 3 Food 4 Service 2 Ambience 3	4.7
JonG	Dined on September 18, 2018	Philadelphia	Anniversary	Overall 5 Food 5 Service 5 Ambience 5	5.0
downtowndoc	Dined on September 18, 2018	New York City	The new space downtown is spectacular.  The omekase was to die for.  Service top notch, too.	Overall 5 Food 5 Service 5 Ambience 5	3.0
ttal	Dined on September 18, 2018	New York City	Nobu is always  impeccable,  from start to finish.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Pointspro	Dined on September 16, 2018	Dallas	The food was great, as always!	Overall 5 Food 5 Service 4 Ambience 4	4.0
AkioY	Dined on September 15, 2018	New York City	The food in general was delightful, but the potatoes in our salmon anticucho where undecooked.	Overall 4 Food 3 Service 5 Ambience 4	5.0
SimkhoC	Dined on September 14, 2018	New York City	Love the food and service. A bit loud.  Great ambiance. The waiter was awesome.	Overall 5 Food 5 Service 5 Ambience 5	4.7
scpalazio	Dined on September 10, 2018	New York City	Nobu is fine.  It's a chain and that's it.  You'll never go here and get blown away by the food, but you will also never be disappointed.	Overall 3 Food 3 Service 4 Ambience 4	1.0
KatiaB	Dined on September 9, 2018	Paris	Good restaurant with tasty cocktails great food but a bit disappointed by the decoration of the restaurant	Overall 4 Food 4 Service 4 Ambience 3	5.0
BillyA	Dined on September 8, 2018	New York City	Absolutely amazing dinner, food was amazing, service was incredible. Absolutely love it.	Overall 5 Food 5 Service 5 Ambience 5	3.0
BennyS	Dined on September 8, 2018	New York City	STILL one of my all time favorites. New location is better than the Tribeca location.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on September 7, 2018	NRW	Excellent Food, excellent Service.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on September 6, 2018	New York City	So much fub	Overall 5 Food 5 Service 5 Ambience 4	4.7
TonyBrooklyn	Dined on September 5, 2018	New York City	Staff was exceptional with service and attention.  They helped to make a birthday extra special.	Overall 4 Food 4 Service 4 Ambience 4	1.0
HPA089	Dined on September 2, 2018	New York City	Everything outstanding. Food fantastic. But temperature like a refrigerator. Very impolite to ladies in beautiful dresses.	Overall 4 Food 5 Service 5 Ambience 1	5.0
NYChic	Dined on August 31, 2018	Chicago	Excellent experience, dining at a high level! The beautiful new space provided sophisticated ambience to the food and expert service.	Overall 5 Food 5 Service 5 Ambience 5	4.0
JohnM	Dined on August 31, 2018	New York City	Always an amazing meal. The Omakse is the way to go.	Overall 5 Food 5 Service 5 Ambience 5	2.0
Globaltraveler	Dined on August 31, 2018	San Francisco	This was a truly outstanding meal! Every dish, even the fresh oysters with their uniques sauces, was beyond what one could experience elsewhere.	Overall 5 Food 5 Service 5 Ambience 5	5.0
CodyS	Dined on August 29, 2018	New York City	Amazing food, best drink I've had all summer. Only hiccup was that the server forgot our Rockshrimp starter.	Overall 5 Food 5 Service 3 Ambience 5	5.0
FrankBruni	Dined on August 29, 2018	San Francisco	the food was exceptional, the wine we ordered was not available.  the server was average at best.	Overall 4 Food 5 Service 2 Ambience 4	5.0
Kenjohan	Dined on August 27, 2018	New York City	Had a perfect lunch with my wife. Athmosphere, service, food and wine all at high level.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Jeanphilippe	Dined on August 26, 2018	New York City	Food was good but not exceptional. I largely prefer Nobu 57. Service was serious. Prices are indecent	Overall 4 Food 3 Service 4 Ambience 3	4.0
VicD	Dined on August 22, 2018	New York City	Just as good as the original TriBeCa location. Food and service are perfectly executed. The lobster salad is a must!	Overall 5 Food 5 Service 5 Ambience 5	5.0
NZ2247	Dined on August 21, 2018	New York City	Great meal as always. Best sushi and sashimi!	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on August 20, 2018	Tokyo	Wedding anniversary	Overall 4 Food 4 Service 5 Ambience 4	5.0
DavidL	Dined on August 19, 2018	Atlanta Metro	Not as good as I expected to be better . The only thing it’s expensive but it’s NOBU!!!	Overall 3 Food 2 Service 2 Ambience 3	5.0
OpenTable Diner	Dined on August 18, 2018	Miami	miso chips were stale. so disappointing.	Overall 3 Food 3 Service 5 Ambience 4	4.7
chris	Dined on August 17, 2018	Orlando	Amazing all the way around	Overall 5 Food 5 Service 5 Ambience 5	3.0
MIDS	Dined on August 17, 2018	Washington DC	Excellent food!!! Want to go back every day!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Michellei	Dined on August 14, 2018	New York City	The restaurant is beautiful and could be the most beautiful Nobu ever. The waitstaff is amazing and the food is always delicious	Overall 5 Food 5 Service 5 Ambience 5	5.0
JoanA	Dined on August 14, 2018	New York City	Spectacular.  One of the best restaurants we have been to in NY.	Overall 5 Food 5 Service 4 Ambience 5	5.0
OpenTable Diner	Dined on August 11, 2018	New York City	Knowledgeable server ,  the food was delicious	Overall 5 Food 5 Service 5 Ambience 5	5.0
Soho101	Dined on August 8, 2018	New York City	Great food but quite noisy, miso cod ftw	Overall 4 Food 5 Service 5 Ambience 5	5.0
KeithK	Dined on August 7, 2018	New York City	Always terrific! It never stops being special. Lunch or dinner it always delivers. Make sure you recognize that great doesn’t come cheap :-)	Overall 5 Food 5 Service 5 Ambience 5	5.0
billR	Dined on August 5, 2018	New York City	Incredible food.  Surpasses expectations   Service was second to none.   Suggest the chefs choice.	Overall 5 Food 5 Service 5 Ambience 5	5.0
JackB	Dined on August 1, 2018	Amsterdam	One of the best in NYC, better then Catch or ABC Kitchen etc	Overall 5 Food 5 Service 4 Ambience 5	5.0
AhmedE	Dined on July 30, 2018	New York City	Excellent but expensive. Food was spectacular. Service was top-notch. Restaurant is beautiful.	Overall 5 Food 5 Service 5 Ambience 5	5.0
gokhann	Dined on July 27, 2018	New York City	Excellent food as usual	Overall 5 Food 5 Service 4 Ambience 5	4.7
OpenTable Diner	Dined on July 27, 2018	Richmond	Awesome food great service.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on July 27, 2018	Indiana	Love table 13!	Overall 5 Food 5 Service 5 Ambience 5	5.0
KarineC	Dined on July 24, 2018	Hawaii	Tasty, original but still a little expensive. Service was a little too rapid and server not very friendly.	Overall 4 Food 5 Service 3 Ambience 5	5.0
MichelleS	Dined on July 19, 2018	Nashville	Food was excellent as usual.  But don't book a late dinner, like 9 p.m., as they rush you at the end.	Overall 4 Food 5 Service 3 Ambience 5	4.7
MlleK	Dined on July 17, 2018	London	No gluten  free options..overrated! Noisy and complacent reception and seating ..	Overall 2 Food 1 Service 1 Ambience 1	4.7
ReneeO	Dined on July 15, 2018	New York City	Very good for special occasions.  Amazing service and food.	Overall 5 Food 5 Service 5 Ambience 5	4.0
Suit	Dined on July 14, 2018	New York City	Food is amazing, cooked to the point. Service is discreet and elegant. Overpriced though!!	Overall 4 Food 5 Service 4 Ambience 5	5.0
Irit	Dined on July 13, 2018	New York City	We celebrated our son 39 birthday. We have been to Nobu many times in the past and today was superb as always, food,service and ambiance. ,	Overall 5 Food 5 Service 5 Ambience 5	3.0
TC212	Dined on July 8, 2018	Orlando	Outstanding! Enough said... absolutely outstanding	Overall 5 Food 5 Service 5 Ambience 5	4.0
ChrisF	Dined on July 4, 2018	New York City	Hostesses have the worst attitude that we have ever experienced.	Overall 2 Food 4 Service 2 Ambience 4	4.0
OpenTable Diner	Dined on July 4, 2018	Dallas	Tasting menu was phenomenal. Service was outstanding. Beautiful location. All in all amazing	Overall 5 Food 5 Service 5 Ambience 5	4.7
