Names	dates	cities	reviews	ratings	stars
MichaelW	Dined on August 5, 2024	New York City	Excellent as always. It’s our family celebration destination	Overall 5 Food 5 Service 5 Ambience 5	5.0
Tom	Dined on August 5, 2024	Upstate NY	First time going. Outstanding experience! Can’t wait to go again	Overall 5 Food 5 Service 5 Ambience 5	5.0
Ponsie	Dined on August 1, 2024	Toronto	Sat at the Sushi Bar downstairs. Great vibe all around. Food was excellent. Great Tacos and the Cod to die for!!	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 29, 2024	New York City	It was amazing. Food was absolutely amazing and so fresh	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 28, 2024	New York City	Food is good, but incredibly overpriced for what it is. We had a wonderful experience at the Nobu in West Hollywood, this was far from that.	Overall 3 Food 3 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on July 25, 2024	New York City	Delicious food, very good location and friendly service.	Overall 5 Food 5 Service 5 Ambience 5	3.0
Sun1943	Dined on July 24, 2024	New York City	Everything was superb. Food, service, ambience all perfection!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 21, 2024	New York City	Portions were very small. Service was amazing. The noise level was minimal	Overall 4 Food 5 Service 5 Ambience 3	5.0
AntonioC	Dined on July 21, 2024	San Francisco	It’s nice, but for me not worth the price. Drinks were small and not a real martini glass.	Overall 3 Food 3 Service 3 Ambience 4	5.0
Gina	Dined on July 14, 2024	New York City	Delicious food, excellent staff! Worth the splurge.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Allie	Dined on July 14, 2024	Central Coast	Nobu never disappoints. The food and service are always impeccable. Thanks for a lovely evening.	Overall 5 Food 5 Service 5 Ambience 5	5.0
JenniferB	Dined on July 14, 2024	New York City	Phenomenal in every way.  Freshest fish, gorgeous presentation, beautiful venue, attentive and caring team.	Overall 5 Food 5 Service 5 Ambience 5	5.0
JessicaN	Dined on July 11, 2024	New York City	Summer scene is not a normal nobu. What till after Labor Day	Overall 3 Food 2 Service 3 Ambience 4	5.0
OpenTable Diner	Dined on July 11, 2024	New York City	Everything was absolutely amazing, from the food, the ambiance, but most importantly the service. 5 stars!!	Overall 5 Food 5 Service 5 Ambience 5	3.0
FoodieMont	Dined on July 10, 2024	Montreal	Great food and service. Excellent choices for main courses, drinks and deserts.	Overall 5 Food 5 Service 5 Ambience 4	4.0
WilliamP	Dined on July 10, 2024	New York City	Amazing as usual just amazing. The most amazing.  It was amazing.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Abdi	Dined on July 7, 2024	Orlando	NOBU is consistently executing high quality food and exceptional service regardless the location	Overall 5 Food 5 Service 5 Ambience 5	5.0
MariaP	Dined on June 29, 2024	New York City	We loved! Nobu always delivers. We missed the waiters describing the plates the way the usually do, and the dish we had in San Diego:fish & chips.	Overall 5 Food 5 Service 4 Ambience 5	3.0
Billy	Dined on June 23, 2024	Cancun	Nobu is the finest sushi restaurant in the world?  New York City downtown is one of their best I’ve been to most in the US.	Overall 5 Food 5 Service 5 Ambience 5	1.0
Vikr	Dined on June 23, 2024	New York City	Very well attended. Came here for my son’s birthday and the staff was very attentive. Food and ambiance were also great	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 22, 2024	New York City	If you love sushi you can’t go wrong with any dish went twice with my girlfriend food is amazing staff also amazing on point great atmosphere also !	Overall 5 Food 5 Service 5 Ambience 5	4.7
monica	Dined on June 22, 2024	Monterrey	DELICIOSO TODO , EL AMBIENTE NOS ENCANTO , LA ATENCION DE TODO EL PERSONAL EXCELENTE	Overall 5 Food 5 Service 5 Ambience 5	4.7
